Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.776,50.761,50.746,50.73,50.715,50.7,50.685,50.67,50.654,50.639,50.624,50.609,50.593,50.578,50.563,50.548,50.532,50.517,50.502,50.487,50.472,50.456,50.441,50.426,50.411,50.395,50.38,50.365,50.35,50.335,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866,44.052,44.254,
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.5766764581838,14.8251752460665,15.0838015294909,15.3630446382495,15.6553833139663,15.9559120897687,16.2693838497471,16.5886566099201,16.9146492015162,17.2513169529071,17.570660582748,17.8951995132772,18.2413899400975,18.5837393625732,18.8988335351986,19.2191926051592,19.540021613309,19.8745750785636,20.2273041497785,20.5659562028733,20.9004895991676,21.2196276716722,21.5313179734841,21.9034538790279,22.3333446629263,22.8005778147925,23.303935569084,23.8053386242273,24.3067250815348,24.8006061562845,25.3087143914043,25.7425655052445,26.166294121751,26.6072939873979,27.0375748984947,27.408217689319,27.685697177495,27.9580826816113,28.2459208135898,28.5328930699047,28.8133608282101,29.1100111724331,29.4238903158695,29.7348697219553,30.0480397812627,30.3809953392876,30.704020023887,30.9582450271517,31.3627828804762,31.7742373050596,32.1955953471221,32.6280688229592,33.052742223393,33.4965565572998,33.9596331101231,34.4472807617476,34.9195443761507,35.3962894579202,35.8933979262181,36.384272287815,36.8840344817359,37.3936325291716,37.9090120211831,38.4248980530256,
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,8.401,8.684,8.976,9.276,9.586,9.904,10.233,10.57,10.918,11.275,11.643,12.021,12.41,12.809,13.219,13.641,14.074,14.517,14.973,15.442,15.995,16.562,17.147,17.747,18.365,18.997,19.647,20.314,20.998,21.088,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,26.933,
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,14.7100056707647,15.0944452002782,15.4879321593093,15.9006819021767,16.3313191437528,16.7797929666168,17.2086820093401,17.6528039414976,18.1108169631274,18.581334166958,19.0512294673345,19.5904317059113,20.1453722519045,20.7104274724214,21.2873960816603,21.8739650750028,22.4761711992626,23.0399110280138,23.6047322338928,24.0839185388597,24.5684788743509,25.1762519651618,25.7820092982229,26.3932226254945,27.0345530315856,27.7167226341278,28.3913219271145,29.0577738093022,29.7131261047112,30.3535739546889,30.9600979459977,31.401176906494,31.829515746326,32.2525611054472,32.6617186027523,33.0650904616738,33.4742231035266,33.9298608881715,34.3971425862883,34.8681686492181,35.3416982581812,35.9510346012348,36.5627714477109,37.1831143920223,37.8109522443181,38.4483793654511,39.0946115629788,39.7385907099206,40.3795094007576,41.0233922174474,41.6724226228926,42.3164260992184,42.9568375522776,43.5879525927349,44.2182784910463,44.8490994916973,45.4738502261529,46.0941365580819,46.7097526162217,47.3226173576126,47.9310209575797,48.5319710590465,49.1298079868363,49.7111841247346,
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,10.435,10.798,11.204,11.624,12.058,12.504,12.965,13.441,13.932,14.436,14.957,15.632,16.455,17.31,18.202,19.128,20.092,21.088,22.122,23.192,24.298,25.437,26.612,27.821,29.065,30.338,31.643,32.978,34.343,35.731,37.144,38.58,40.039,41.511,43,44.169,45.346,46.525,47.71,48.897,50.087,51.274,52.461,53.645,54.827,56,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46,68.081,68.688,
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.705,30.943,31.015,31.086,31.158,31.23,31.302,31.374,31.446,31.548,31.74,31.933,32.127,32.321,32.516,32.712,32.908,33.105,33.302,33.5,33.762,34.024,34.287,34.552,34.817,35.083,35.35,35.619,35.888,36.158,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969,63.799,64.603,
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.45,60.983,63.462,65.872,68.205,70.445,72.593,74.641,76.588,78.424,80.155,81.78,83.301,84.716,86.032,87.252,88.382,89.42,90.378,91.257,92.064,92.8,93.474,94.089,94.649,95.159,95.325,95.178,95.027,94.872,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.285,89.807,89.308,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916,87.858,87.811,87.774,
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.0105359618617,31.7271627316738,32.4514422327758,33.1943094437437,33.9559924474805,34.7551858431634,35.5106015377775,36.1563781524639,36.8166015275797,37.4874522853404,38.1638269976052,38.8161050815803,39.4845095019616,40.1313984518828,40.71843728404,41.3013639585173,41.8719644244713,42.4218609524877,42.9389045772965,43.4091946999385,43.901802392722,44.4365438497499,44.9455470896803,45.4645043044695,46.0697109918685,46.6630039113436,47.2606511771604,47.8202887856006,48.3166909160034,48.7878360578099,49.265325548943,49.6479428773218,50.1866641370332,50.6087943973716,50.8912843416396,51.0994592831398,51.3083822593783,51.5511052201292,51.8038910629442,52.0579641108858,52.3262723083108,52.6161793476524,52.9051617965408,53.2051293342866,53.5065936014142,53.8531371963039,54.2288759885801,54.4937880728369,54.9030113257958,55.2960382525499,55.5654925471108,55.8725648894499,56.1657052407112,56.5495371540208,56.9048148917087,57.3250720145106,57.6531027450977,57.8627472124113,58.0104842292073,58.2045421060528,58.4966741305089,58.6629266021441,59.0542670171409,59.4438543814949,
United Arab Emirates,ARE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.5,74.383,75.248,76.093,76.919,77.723,78.508,79.272,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.903,80.106,80.309,80.51,80.71,80.683,80.466,80.247,80.026,79.804,79.624,79.482,79.339,79.196,79.051,78.906,78.76,78.614,78.467,78.319,78.493,78.938,79.378,79.81,80.236,80.655,81.067,81.472,81.871,82.262,82.648,83.023,83.387,83.742,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248,86.522,86.789,87.048,87.299,87.543,87.779,
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.611,74.217,74.767,75.309,75.844,76.369,76.888,77.398,77.901,78.394,78.88,79.321,79.743,80.158,80.567,80.969,81.366,81.755,82.139,82.516,82.887,83.313,83.759,84.194,84.621,85.038,85.445,85.843,86.233,86.613,86.984,87.328,87.542,87.752,87.96,88.164,88.366,88.564,88.759,88.952,89.142,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229,92.347,92.463,
